Instruction,Latency1,,,,Throughput,,
CPUID,"06_4E,06",06_3D/4,06_3C/4,"06_3A,","06_4E,06 06_3D/4",06_3C/4,"06_3A,"
"",_5E,7/56,5/46/3F,06_3E,_5E 7/56,5/46/3F,06_3E
"ADC/SBB reg, reg",1,2,2,2,0.5 1,1,1
"ADC/SBB reg, imm",1,2,2,2,0.5 1,1,1
ADD/SUB,1,1,1,1,0.25 0.25,0.25,0.33
AND/OR/XOR,1,1,1,1,0.25 0.25,0.25,0.33
BSF/BSR,3,3,3,3,1 1,1,1
BSWAP,2,2,2,2,0.5 0.5,0.5,1
BT,1,1,1,1,0.5 0.5,0.5,0.5
BTC/BTR/BTS,1,1,1,1,0.5 0.5,0.5,0.5
CBW/CWDE/CDQE,1,1,1,1,1 1,1,1
CDQ,1,1,1,1,1 1,1,1
CQO,1,1,1,1,0.5 0.5,0.5,0.5
CLC,,,,,0.25 0.33,0.33,0.33
CMC,,,,,0.25 0.33,0.33,0.33
STC,,,,,0.25 0.33,0.33,0.33
CLFLUSH12,,,,,~2 to 50 ~3 to 50,~3 to 50,~5 to 50
CLFLUSHOPT13,,,,,~2to 10 NA,NA,NA
CMOVE/CMOVcc,1,1,2,2,0.5 0.5,0.5,0.5
CMOVBE/NBE/A/NA,2,2,3,3,1 1,1,1
CMP/TEST,1,1,1,1,0.25 0.25,0.25,0.33
CPUID (EAX = 0),,,,,~100 ~100,~100,~95
CPUID (EAX != 0),,,,,>200 >200,>200,>200
"CMPXCHG r64, r64",5,5,5,5,5 5,5,5
CMPXCHG8B m64,15,8,8,8,15 8,8,8
CMPXCHG16B m128,19,10,10,10,19 10,10,10
Lock CMPXCHG8B m64,22,19,19,24,22 19,19,24
Lock CMPXCHG16B m128,32,28,28,29,32 28,28,29
DEC/INC,1,2,2,2,0.25 0.25,0.25,0.33
"IMUL r64, r64",3,3,3,3,1 1,1,1
IMUL r6410,"4, 5","3, 4","3, 4","3, 4",1 1,1,1
IMUL r32,5,4,4,4,1 1,1,1
IDIV r64 (RDX!= 0)8,,,,,~85-100 ~85-100,~85-100,~85-100
IDIV r329,,,,,~20-26 ~20-26,~20-26,~19-25
LEA,1,1,1,1,0.5 0.5,0.5,0.5
LEA [base+index]disp,3,3,3,3,1 1,1,1
MOVSB/MOVSW,1,1,1,1,0..25 0..25,0..25,0.33
MOVZB/MOVZW,1,1,1,1,0.25 0.25,0.25,0.33
DIV r64 (RDX!= 0)8,,,,,~80-95 ~80-95,~80-95,~80-95
DIV r329,,,,,~20-26 ~20-26,~20-26,~19-25
